,Unnamed: 0,index,name,brand,price,size,short,n,cat,n_cal,n_carb,n_sugar,n_fat,n_tfa,n_prot,n_mass,cal,carb,sugar,fat,tfa,prot
82,82,91,Bio-Chiasamen,SCHNEEKOPPE,1.99,300-g-Beutel,chia seeds,300.0,g,137.78,11.94,0.0,8.71,0.04,4.69,28.35,1457.989417989418,126.34920634920634,0.0,92.16931216931218,0.4232804232804233,49.62962962962963
83,83,92,Bio-Leinöl,SCHNEEKOPPE,1.89,250-ml-Flasche,creme cheese,250.0,ml,60.43,0.5,0.2,4.5,0.0,4.6,20.0,755.375,6.25,2.5,56.25,0.0,57.49999999999999
84,84,93,Bio-Schlagsahne,GUT BIO,0.89,200-g-Packung,whipped cream,200.0,g,1141.08,55.43,35.52,98.64,0.0,14.21,444.0,514.0,24.96846846846847,16.0,44.43243243243244,0.0,6.4009009009009015
85,85,95,Bio-Pufuleti,GUT BIO,0.99,80-g-Beutel,corn puff,80.0,g,150.0,17.0,11.0,10.0,0.0,0.5,30.0,400.0,45.33333333333333,29.33333333333333,26.666666666666664,0.0,1.3333333333333333
86,86,96,Bio-Bacon,GUT BIO,2.19,Packung,bacon,300.0,packung/beutel,44.39,0.11,0.0,3.5,0.0,2.89,8.1,1644.074074074074,4.074074074074074,0.0,129.62962962962962,0.0,107.03703703703704
87,87,97,Bio-Hafer Drink,GUT BIO,0.99,1-l-Packung,oat milk,1.0,l,16.3,3.64,2.39,0.12,0.0,0.25,30.15,540.6301824212272,120.7296849087894,79.27031509121062,3.9800995024875614,0.0,8.291873963515755
88,88,98,Bio-Apfelmus,GUT BIO,0.99,370-ml-Glas,apple sauce,370.0,ml,167.28,43.03,36.09,0.42,0.0,0.39,246.0,251.6,64.71991869918699,54.28170731707318,0.6317073170731707,0.0,0.5865853658536586
89,89,99,Natives Bio-Olivenöl extra,GUT BIO,4.99,750-ml-Flasche,olive oil,750.0,ml,119.34,0.0,0.0,13.5,0.0,0.0,13.5,6630.0,0.0,0.0,750.0,0.0,0.0
90,90,100,Bio-Fruchtjoghurt,GUT BIO,0.45,150-g-Becher,fruit yoghurt,150.0,g,215.65,43.13,43.13,0.45,0.0,9.99,227.0,142.5,28.500000000000004,28.500000000000004,0.2973568281938326,0.0,6.601321585903084
91,91,101,Bio-Speisequark,GUT BIO,0.75,250-g-Becher,curd cheese,250.0,g,213.15,7.35,5.81,9.35,0.0,24.19,217.5,245.0,8.448275862068964,6.678160919540229,10.747126436781608,0.0,27.804597701149422
92,92,102,Bio-Joghurt pur,GUT BIO,0.39,150-g-Becher,yoghurt,150.0,g,154.35,17.25,17.25,3.8,0.0,12.86,245.0,94.5,10.56122448979592,10.56122448979592,2.326530612244898,0.0,7.873469387755102
93,93,103,Bio-Vollmilch,GUT BIO,1.15,1-l-Packung,whole milk,1.0,l,148.84,11.71,12.32,7.93,0.0,7.69,244.0,610.0,47.99180327868852,50.49180327868852,32.49999999999999,0.0,31.51639344262295
94,94,104,Bio-Butter,GUT BIO,2.99,250-g-Packung,butter,250.0,g,1627.59,0.14,0.14,184.12,7.44,1.93,227.0,1792.4999999999998,0.1541850220264317,0.1541850220264317,202.77533039647577,8.193832599118942,2.125550660792951
95,95,105,Disney Bio Reis- / Mais-Waffeln,GUT BIO,0.66,Packung,rice cake,200.0,packung/beutel,34.83,7.34,0.08,0.25,0.0,0.74,9.0,773.9999999999999,163.11111111111111,1.7777777777777777,5.555555555555555,0.0,16.444444444444443
96,96,106,Bio Gartensaft,GUT BIO,1.39,1-l-Packung,tomatoe juice,1.0,l,30.94,6.42,4.7,0.53,0.0,1.55,182.0,170.0,35.27472527472528,25.824175824175825,2.9120879120879124,0.0,8.516483516483516
97,97,108,Naturtrübe Bio-Apfelschorle / Apfel-Rhabarberschorle,GUT BIO,0.99,"0,75-l-Flasche",apple spritzer,0.75,l,24.12,5.5,5.3,0.05,0.0,0.1,200.0,90.45,20.625,19.875,0.1875,0.0,0.375
98,98,109,Frische Fettarme Milch,GUT BIO,1.05,1-l-Packung,fat reduced milk,1.0,l,140.0,14.0,13.0,5.0,0.0,10.0,284.13,492.7322000492733,49.273220004927325,45.75370429028966,17.59757857318833,0.0,35.19515714637666
99,99,110,Skyr,GUT BIO,1.19,500-g-Becher,skyr,500.0,g,23.25,3.42,3.2,0.04,0.0,2.28,28.35,410.05291005291,60.31746031746031,56.4373897707231,0.7054673721340388,0.0,40.2116402116402
100,100,111,Pasta,GUT BIO,1.29,500-g-Beutel,pasta,500.0,g,169.06,33.02,0.6,0.99,0.0,6.2,107.0,790.0,154.29906542056077,2.803738317757009,4.626168224299065,0.0,28.97196261682243
101,101,112,La Mancha,GUT BIO,2.49,"0,75-l-Flasche",wine,0.75,l,618.8,19.27,0.0,0.0,0.0,0.51,745.6,622.4517167381973,19.3837178111588,0.0,0.0,0.0,0.5130096566523604
